"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Ervaren gezondheid (goed/zeer goed) (%)";"Bewegen/Voldoet aan beweegrichtlijn (%)";"Onder- en overgewicht/Mate van overgewicht/Ernstig overgewicht (%)";"Roker (%)";"Alcoholgebruik/Voldoet aan alcohol richtlijn (%)";"Alcoholgebruik/Drinker (%)";"Alcoholgebruik/Zware drinker (%)";"Alcoholgebruik/Overmatige drinker (%)";"Lichamelijke gezondheid/Eén of meer langdurige aandoeningen (%)";"Psychische klachten (%)";"Veerkracht/(Zeer) lage veerkracht (%)";"Hoog risico op angst of depressie (%)";"Eenzaamheid/Ernstig/zeer ernstig eenzaam (%)"
"18 jaar of ouder";"Waarde";"2020";"Nederland";"Nederland                               ";"Land      ";"NL01                ";"    78.4";"    49.9";"    15.6";"    18.0";"    43.8";"    78.5";"     8.4";"     6.3";"    32.6";"       .";"       .";"     6.8";"    11.3"
"18 jaar of ouder";"Waarde";"2020";"Krimpenerwaard";"Krimpenerwaard                          ";"Gemeente  ";"GM1931              ";"    80.9";"    46.0";"    15.4";"    14.5";"    47.8";"    78.5";"     6.7";"     5.8";"    31.3";"       .";"       .";"     5.1";"     8.9"
"18 jaar of ouder";"Waarde";"2020";"Wijk 00 Lekkerkerk";"Krimpenerwaard                          ";"Wijk      ";"WK193100            ";"    79.6";"    44.8";"    16.4";"    14.5";"    48.8";"    78.4";"     6.3";"     5.5";"    31.8";"       .";"       .";"     5.3";"     9.2"
"18 jaar of ouder";"Waarde";"2020";"Tiendhoek";"Krimpenerwaard                          ";"Buurt     ";"BU19310000          ";"    82.2";"    48.0";"    15.6";"    15.0";"    46.1";"    80.6";"     6.4";"     5.2";"    29.7";"       .";"       .";"     5.4";"     8.8"
"18 jaar of ouder";"Waarde";"2020";"Schuwacht";"Krimpenerwaard                          ";"Buurt     ";"BU19310001          ";"    83.2";"    47.7";"    13.8";"    13.5";"    42.9";"    82.5";"     7.3";"     6.9";"    28.7";"       .";"       .";"     3.6";"     6.7"
"18 jaar of ouder";"Waarde";"2020";"Opperduit";"Krimpenerwaard                          ";"Buurt     ";"BU19310002          ";"    84.2";"    46.9";"    13.8";"    11.9";"    43.8";"    83.2";"     7.0";"     5.9";"    26.8";"       .";"       .";"     3.8";"     6.4"
"18 jaar of ouder";"Waarde";"2020";"Tiendweg-West";"Krimpenerwaard                          ";"Buurt     ";"BU19310003          ";"    80.9";"    46.6";"    12.3";"    13.7";"    48.1";"    79.7";"     6.6";"     6.3";"    30.9";"       .";"       .";"     4.8";"     7.7"
"18 jaar of ouder";"Waarde";"2020";"Lekkerkerk-Oost";"Krimpenerwaard                          ";"Buurt     ";"BU19310004          ";"    80.6";"    45.6";"    17.5";"    16.0";"    47.8";"    79.0";"     6.4";"     5.2";"    31.3";"       .";"       .";"     5.8";"     9.2"
"18 jaar of ouder";"Waarde";"2020";"Prinsessenbuurt";"Krimpenerwaard                          ";"Buurt     ";"BU19310005          ";"    78.3";"    43.3";"    15.8";"    13.7";"    49.8";"    78.0";"     6.0";"     5.5";"    33.1";"       .";"       .";"     5.8";"     9.4"
"18 jaar of ouder";"Waarde";"2020";"Koninginnenbuurt";"Krimpenerwaard                          ";"Buurt     ";"BU19310006          ";"    76.3";"    42.0";"    18.1";"    15.1";"    51.5";"    75.6";"     6.2";"     5.5";"    35.5";"       .";"       .";"     5.7";"    10.5"
"18 jaar of ouder";"Waarde";"2020";"Wibautsraat en Lorentzweg";"Krimpenerwaard                          ";"Buurt     ";"BU19310007          ";"    73.8";"    40.6";"    19.4";"    17.9";"    56.0";"    70.2";"     6.1";"     4.8";"    35.1";"       .";"       .";"     7.7";"    13.3"
"18 jaar of ouder";"Waarde";"2020";"Molenwerf en omstreken";"Krimpenerwaard                          ";"Buurt     ";"BU19310008          ";"    76.8";"    42.1";"    18.0";"    13.7";"    52.3";"    76.0";"     5.8";"     5.1";"    34.6";"       .";"       .";"     5.0";"     9.3"
"18 jaar of ouder";"Waarde";"2020";"Voorstraat en Centrum";"Krimpenerwaard                          ";"Buurt     ";"BU19310009          ";"    79.9";"    45.3";"    14.8";"    12.0";"    48.6";"    80.9";"     5.7";"     5.8";"    32.1";"       .";"       .";"     4.1";"     8.6"
"18 jaar of ouder";"Waarde";"2020";"Industrieterrein";"Krimpenerwaard                          ";"Buurt     ";"BU19310010          ";"    77.2";"    43.8";"    13.4";"    10.3";"    54.0";"    73.7";"     5.3";"     4.8";"    30.2";"       .";"       .";"     4.1";"    14.7"
"18 jaar of ouder";"Waarde";"2020";"Verspr. huizen Lekkerkerk";"Krimpenerwaard                          ";"Buurt     ";"BU19310011          ";"    86.8";"    47.1";"    13.5";"    11.8";"    46.8";"    81.7";"     6.1";"     5.5";"    23.5";"       .";"       .";"     3.0";"     5.6"
"18 jaar of ouder";"Waarde";"2020";"Wijk 01 Krimpen aan de Lek";"Krimpenerwaard                          ";"Wijk      ";"WK193101            ";"    78.9";"    45.8";"    16.9";"    15.3";"    48.4";"    78.2";"     6.2";"     5.4";"    32.3";"       .";"       .";"     5.6";"     9.7"
"18 jaar of ouder";"Waarde";"2020";"Hoofdstraat";"Krimpenerwaard                          ";"Buurt     ";"BU19310100          ";"    77.4";"    44.1";"    17.4";"    16.7";"    49.2";"    77.7";"     6.4";"     5.3";"    32.8";"       .";"       .";"     6.0";"    10.5"
"18 jaar of ouder";"Waarde";"2020";"Binnen Krimpen";"Krimpenerwaard                          ";"Buurt     ";"BU19310101          ";"    77.6";"    45.1";"    17.4";"    15.5";"    50.3";"    75.9";"     5.8";"     5.0";"    33.1";"       .";"       .";"     6.2";"    10.2"
"18 jaar of ouder";"Waarde";"2020";"Beroepenbuurt";"Krimpenerwaard                          ";"Buurt     ";"BU19310102          ";"    77.2";"    44.2";"    18.4";"    18.1";"    49.2";"    75.5";"     6.4";"     5.3";"    33.2";"       .";"       .";"     6.8";"    11.7"
"18 jaar of ouder";"Waarde";"2020";"Krimpen-Oost";"Krimpenerwaard                          ";"Buurt     ";"BU19310103          ";"    83.7";"    47.4";"    14.1";"    10.1";"    47.2";"    81.6";"     5.1";"     5.4";"    31.4";"       .";"       .";"     3.1";"     6.7"
"18 jaar of ouder";"Waarde";"2020";"Zaag";"Krimpenerwaard                          ";"Buurt     ";"BU19310104          ";"    75.4";"    42.5";"    16.6";"    18.8";"    44.7";"    82.0";"     7.0";"     7.5";"    39.5";"       .";"       .";"     5.7";"    10.8"
"18 jaar of ouder";"Waarde";"2020";"Tiendweg Noord";"Krimpenerwaard                          ";"Buurt     ";"BU19310105          ";"    81.4";"    51.2";"    16.3";"    14.2";"    46.2";"    81.4";"     6.3";"     5.7";"    31.0";"       .";"       .";"     4.9";"     8.3"
"18 jaar of ouder";"Waarde";"2020";"Krimpen Centrum";"Krimpenerwaard                          ";"Buurt     ";"BU19310106          ";"    75.9";"    40.0";"    17.0";"    13.0";"    50.1";"    76.1";"     6.0";"     5.6";"    35.1";"       .";"       .";"     4.9";"     9.6"
"18 jaar of ouder";"Waarde";"2020";"Industrieterrein Krimpen";"Krimpenerwaard                          ";"Buurt     ";"BU19310107          ";"    82.6";"    45.1";"    14.5";"    15.6";"    47.5";"    78.2";"     5.4";"     4.5";"    27.8";"       .";"       .";"     3.9";"     7.2"
"18 jaar of ouder";"Waarde";"2020";"Lekdijk";"Krimpenerwaard                          ";"Buurt     ";"BU19310108          ";"    84.3";"    46.6";"    14.1";"    13.4";"    42.2";"    83.0";"     7.2";"     6.7";"    28.1";"       .";"       .";"     3.9";"     7.5"
"18 jaar of ouder";"Waarde";"2020";"Verspr. huizen Krimpen aan de Lek";"Krimpenerwaard                          ";"Buurt     ";"BU19310109          ";"    85.7";"    50.4";"    13.5";"    12.5";"    45.7";"    83.6";"     5.3";"     5.5";"    26.4";"       .";"       .";"     3.4";"     6.9"
"18 jaar of ouder";"Waarde";"2020";"Wijk 02 Ouderkerk aan den IJssel";"Krimpenerwaard                          ";"Wijk      ";"WK193102            ";"    82.4";"    45.5";"    14.9";"    13.4";"    46.4";"    79.9";"     7.1";"     6.1";"    29.8";"       .";"       .";"     4.3";"     7.6"
"18 jaar of ouder";"Waarde";"2020";"Ouderkerk aan den IJssel";"Krimpenerwaard                          ";"Buurt     ";"BU19310200          ";"    81.6";"    44.9";"    15.3";"    13.3";"    46.9";"    79.3";"     6.9";"     5.9";"    30.4";"       .";"       .";"     4.4";"     8.0"
"18 jaar of ouder";"Waarde";"2020";"Verspr. huizen Ouderkerk Noord";"Krimpenerwaard                          ";"Buurt     ";"BU19310208          ";"    83.9";"    46.9";"    14.5";"    14.2";"    44.7";"    81.4";"     7.7";"     6.3";"    28.8";"       .";"       .";"     4.2";"     6.8"
"18 jaar of ouder";"Waarde";"2020";"Verspr. huizen Ouderkerk Oost";"Krimpenerwaard                          ";"Buurt     ";"BU19310209          ";"    87.6";"    47.0";"    11.0";"    10.7";"    48.9";"    82.3";"     6.3";"     6.3";"    23.5";"       .";"       .";"     2.6";"     5.0"
"18 jaar of ouder";"Waarde";"2020";"Wijk 03 Gouderak";"Krimpenerwaard                          ";"Wijk      ";"WK193103            ";"    81.0";"    45.6";"    16.0";"    16.8";"    46.4";"    78.1";"     7.1";"     6.0";"    31.7";"       .";"       .";"     5.8";"     9.5"
"18 jaar of ouder";"Waarde";"2020";"Gouderak";"Krimpenerwaard                          ";"Buurt     ";"BU19310300          ";"    81.0";"    45.6";"    16.0";"    16.8";"    46.4";"    78.1";"     7.1";"     6.0";"    31.7";"       .";"       .";"     5.8";"     9.5"
"18 jaar of ouder";"Waarde";"2020";"Wijk 04 Bergambacht";"Krimpenerwaard                          ";"Wijk      ";"WK193104            ";"    80.7";"    45.2";"    15.4";"    13.9";"    49.8";"    78.2";"     5.8";"     5.6";"    31.2";"       .";"       .";"     5.1";"     9.4"
"18 jaar of ouder";"Waarde";"2020";"Bergambacht-Dorp";"Krimpenerwaard                          ";"Buurt     ";"BU19310400          ";"    80.0";"    44.4";"    14.9";"    12.8";"    48.3";"    80.4";"     5.8";"     5.9";"    32.3";"       .";"       .";"     4.5";"     9.1"
"18 jaar of ouder";"Waarde";"2020";"Kadijk en Kadijkselaan";"Krimpenerwaard                          ";"Buurt     ";"BU19310401          ";"    86.7";"    49.0";"    12.2";"    13.3";"    46.2";"    82.4";"     7.6";"     6.7";"    23.9";"       .";"       .";"     4.0";"     7.2"
"18 jaar of ouder";"Waarde";"2020";"Uitbreiding Dorp";"Krimpenerwaard                          ";"Buurt     ";"BU19310402          ";"    79.4";"    44.9";"    16.6";"    15.1";"    51.4";"    76.1";"     5.6";"     5.2";"    32.2";"       .";"       .";"     5.9";"    10.3"
"18 jaar of ouder";"Waarde";"2020";"Benedenberg en Zuidbroek";"Krimpenerwaard                          ";"Buurt     ";"BU19310403          ";"    86.4";"    46.2";"    11.4";"    10.4";"    46.0";"    82.8";"     6.7";"     6.4";"    25.6";"       .";"       .";"     2.6";"     5.7"
"18 jaar of ouder";"Waarde";"2020";"Tussenlanen";"Krimpenerwaard                          ";"Buurt     ";"BU19310404          ";"    87.6";"    49.9";"    10.2";"    10.3";"    46.0";"    83.9";"     6.8";"     6.3";"    26.7";"       .";"       .";"     2.7";"     5.6"
"18 jaar of ouder";"Waarde";"2020";"Bovenberg westelijk van de Fransekade";"Krimpenerwaard                          ";"Buurt     ";"BU19310409          ";"    88.1";"    49.7";"    11.5";"    11.3";"    43.4";"    85.7";"     6.5";"     6.3";"    27.1";"       .";"       .";"     2.8";"     5.3"
"18 jaar of ouder";"Waarde";"2020";"Wijk 05 Bergstoep";"Krimpenerwaard                          ";"Wijk      ";"WK193105            ";"    84.2";"    46.2";"    13.7";"    12.6";"    45.2";"    82.0";"     6.8";"     6.0";"    29.1";"       .";"       .";"     3.8";"     7.4"
"18 jaar of ouder";"Waarde";"2020";"Bergstoep";"Krimpenerwaard                          ";"Buurt     ";"BU19310500          ";"    84.1";"    46.2";"    13.9";"    13.1";"    45.3";"    81.7";"     6.8";"     5.8";"    28.8";"       .";"       .";"     4.1";"     7.8"
"18 jaar of ouder";"Waarde";"2020";"Lekdijk-West en Provinciale weg (ged.)";"Krimpenerwaard                          ";"Buurt     ";"BU19310501          ";"    86.0";"    45.4";"    12.7";"    10.7";"    43.5";"    82.5";"     7.0";"     6.8";"    27.0";"       .";"       .";"     2.9";"     6.1"
"18 jaar of ouder";"Waarde";"2020";"Lekdijk-Oost en Provinciale weg (ged.)";"Krimpenerwaard                          ";"Buurt     ";"BU19310502          ";"    86.9";"    48.9";"    11.5";"    14.6";"    40.2";"    83.6";"     7.6";"     6.0";"    28.0";"       .";"       .";"     3.1";"     7.1"
"18 jaar of ouder";"Waarde";"2020";"Bovenstad";"Krimpenerwaard                          ";"Buurt     ";"BU19310503          ";"    82.8";"    46.6";"    14.2";"    10.7";"    47.1";"    83.0";"     6.0";"     6.8";"    33.2";"       .";"       .";"     3.3";"     6.3"
"18 jaar of ouder";"Waarde";"2020";"Provinciale weg (ged.) De Hem en Hogedij";"Krimpenerwaard                          ";"Buurt     ";"BU19310504          ";"    84.4";"    43.8";"    12.0";"    11.0";"    47.0";"    81.8";"     7.4";"     6.2";"    28.8";"       .";"       .";"     2.4";"     5.3"
"18 jaar of ouder";"Waarde";"2020";"Wijk 06 Ammerstol";"Krimpenerwaard                          ";"Wijk      ";"WK193106            ";"    80.7";"    44.1";"    16.8";"    16.1";"    45.8";"    79.8";"     6.9";"     6.3";"    32.9";"       .";"       .";"     5.0";"     8.7"
"18 jaar of ouder";"Waarde";"2020";"Ammerstol";"Krimpenerwaard                          ";"Buurt     ";"BU19310600          ";"    80.7";"    44.1";"    16.8";"    16.1";"    45.8";"    79.8";"     6.9";"     6.3";"    32.9";"       .";"       .";"     5.0";"     8.7"
"18 jaar of ouder";"Waarde";"2020";"Wijk 07 Berkenwoude";"Krimpenerwaard                          ";"Wijk      ";"WK193107            ";"    85.1";"    45.1";"    12.3";"    11.9";"    46.2";"    80.2";"     6.5";"     6.5";"    25.7";"       .";"       .";"     3.8";"     6.3"
"18 jaar of ouder";"Waarde";"2020";"Berkenwoude";"Krimpenerwaard                          ";"Buurt     ";"BU19310700          ";"    84.6";"    44.5";"    12.6";"    12.1";"    45.5";"    81.5";"     6.6";"     6.7";"    26.3";"       .";"       .";"     3.8";"     6.3"
"18 jaar of ouder";"Waarde";"2020";"Achterbroek";"Krimpenerwaard                          ";"Buurt     ";"BU19310701          ";"    88.0";"    48.8";"    10.6";"    10.5";"    50.2";"    73.1";"     5.9";"     5.5";"    22.3";"       .";"       .";"     3.7";"     6.4"
"18 jaar of ouder";"Waarde";"2020";"Wijk 08 Haastrecht";"Krimpenerwaard                          ";"Wijk      ";"WK193108            ";"    81.4";"    47.0";"    14.0";"    13.8";"    45.2";"    80.6";"     8.1";"     6.9";"    32.1";"       .";"       .";"     4.5";"     7.9"
"18 jaar of ouder";"Waarde";"2020";"Haastrecht-Dorpskern";"Krimpenerwaard                          ";"Buurt     ";"BU19310800          ";"    85.3";"    50.1";"    12.5";"    13.7";"    41.1";"    84.0";"     8.8";"     7.6";"    29.7";"       .";"       .";"     4.1";"     7.1"
"18 jaar of ouder";"Waarde";"2020";"Boven-Haastrecht";"Krimpenerwaard                          ";"Buurt     ";"BU19310801          ";"    87.6";"    48.6";"    10.6";"    13.2";"    40.3";"    85.0";"     7.8";"     6.2";"    24.2";"       .";"       .";"     2.7";"     5.3"
"18 jaar of ouder";"Waarde";"2020";"Beneden-Haastrecht";"Krimpenerwaard                          ";"Buurt     ";"BU19310802          ";"    85.6";"    51.8";"    10.7";"    12.2";"    44.9";"    82.6";"     7.1";"     6.1";"    28.9";"       .";"       .";"     3.8";"     6.3"
"18 jaar of ouder";"Waarde";"2020";"Rozendaal";"Krimpenerwaard                          ";"Buurt     ";"BU19310803          ";"    83.8";"    44.9";"    12.7";"    11.3";"    43.7";"    79.0";"     7.8";"     7.5";"    26.7";"       .";"       .";"     2.3";"     8.1"
"18 jaar of ouder";"Waarde";"2020";"Stolwijkersluis (ged.)";"Krimpenerwaard                          ";"Buurt     ";"BU19310804          ";"    83.2";"    47.2";"    13.3";"    14.6";"    48.3";"    79.3";"     5.6";"     5.1";"    31.0";"       .";"       .";"     4.6";"     6.1"
"18 jaar of ouder";"Waarde";"2020";"Hofkamp";"Krimpenerwaard                          ";"Buurt     ";"BU19310805          ";"    78.0";"    44.5";"    12.5";"    10.6";"    50.3";"    77.7";"     6.2";"     7.0";"    34.7";"       .";"       .";"     3.9";"     8.5"
"18 jaar of ouder";"Waarde";"2020";"Agterpoort";"Krimpenerwaard                          ";"Buurt     ";"BU19310806          ";"    78.2";"    44.4";"    16.5";"    16.4";"    47.8";"    78.0";"     9.0";"     7.3";"    35.4";"       .";"       .";"     5.5";"    10.0"
"18 jaar of ouder";"Waarde";"2020";"Stein";"Krimpenerwaard                          ";"Buurt     ";"BU19310807          ";"    77.0";"    43.6";"    16.4";"    14.3";"    49.0";"    76.8";"     7.6";"     6.8";"    35.8";"       .";"       .";"     5.2";"     8.6"
"18 jaar of ouder";"Waarde";"2020";"Verspr. huizen Haastrecht Noord";"Krimpenerwaard                          ";"Buurt     ";"BU19310808          ";"    86.6";"    51.7";"    10.5";"    12.1";"    41.2";"    84.8";"     9.2";"     7.6";"    25.2";"       .";"       .";"     3.2";"     5.8"
